,Measured angle,Predicted angle
152,57.26020786,59.71
153,16.0971219,15.37
154,29.71185907,60.37
155,58.02104711,54.8
156,58.37335328,57.7
157,62.15412246,50.55
158,90.69932217,84.94
159,43.12814602,38.1
160,36.11076413,45.71
161,47.2160598,51.4
162,70.23265701,47.48
163,51.25602594,54.88
164,64.81812809,53.95
165,34.69074434,37.98
166,34.48940881,37.88
167,29.08434559,31.56
168,41.83398773,46.6
169,36.86420925,41.54
170,45.39973963,39.15
171,42.4719535,43.4
172,35.29170469,41.34
173,32.35814768,38.73
174,59.66143585,63.28
175,40.06205407,34.44
176,50.79520997,41.02
177,53.08821632,52.76
178,54.3305128,51.75
179,27.06397388,26.35
180,39.00881748,56.88
181,26.54373314,29.03
182,27.7043594,32.09
183,33.50400032,20.03
184,40.48251592,36.09
185,45.59021847,51.02
186,56.47506557,55.27
187,45.59711563,35.28
188,32.05622677,29.48
189,47.31260279,38.07
190,37.78248338,37.57
191,37.90182384,37.55
192,75.98557306,67.75
193,62.07608754,54.9
194,32.59761377,38.24
195,37.19048343,37.29
196,52.41893436,51.01
197,51.44034346,55.55
198,59.82761333,62.9
199,29.77504322,41.72
200,59.06503025,52.75
201,48.02548052,38.26
202,46.59214238,46.2
203,26.20631411,58.12
204,65.47275685,60.63
205,41.51201573,37.26
206,46.94106196,41.79
207,53.87917587,50.3
208,76.18787159,71.96
209,53.70806138,54.61
210,32.24070357,33.8
211,39.60087714,35.9
212,53.0771399,43
213,60.70330038,54.03
214,73.43637541,66.94
215,69.60314648,83.51
216,62.88842334,60.43
217,49.69111074,48.88
218,42.01314566,39.06
219,63.71706958,68.79
220,71.00211114,66.25
221,19.17895024,24.01
222,98.43181129,90.93
223,33.66828734,31.19
224,53.20465464,57.13
225,31.75897707,25.05
226,26.44645692,24.84
227,20.78697199,41.41
228,50.66904322,47.04
229,31.69532963,39.31
230,38.59516503,52.2
231,60.71713141,59.75
232,78.42719463,72.33
233,49.96730978,53.78
234,52.96297562,53.8
235,94.63500479,98.78
236,45.4512209,42.73
237,60.4668502,58.65
238,76.51204333,73.71
