,Measured angle,Predicted angle
96,54.62594975059978,48.81
97,41.84509352942744,51.06
98,19.24605011375238,29.44
99,40.44659238888285,38.97
100,68.90522663405255,60.13
101,87.63900691352137,88.44
102,17.655210224290663,32.75
103,22.378907809090563,27.45
104,61.943894098392015,61.56
105,47.125249470865036,49.93
106,26.28518301639154,24.67
107,102.38606034018265,78.11
108,40.6239049922862,37.43
109,16.200214723528035,63.11
110,26.43543044049479,43.31
111,23.20589386373403,60.23
112,45.25263177212382,34.92
113,38.73222661463332,33.94
114,29.46254778431226,27.6
115,45.141227846609084,43.73
116,38.60697374065415,39.27
117,24.384999146666996,35.79
118,49.663066405472655,42.31
119,51.57273391636643,52.27
120,58.453088883527826,49.23
121,68.38648878971414,69.42
122,58.183285786841694,54.6
123,50.823116681173204,42.07
124,67.38402773502645,60.15
125,44.621760253924606,30.43
126,49.07606294557999,46.91
127,48.38279936022868,40.65
128,32.20376745479393,30.8
129,69.77464394329202,68.79
130,36.40646153313408,34.25
131,51.4661227759568,37.67
132,80.54428159165356,81.3
133,72.63743900030421,79.33
134,75.79398941396282,81.44
135,50.0978785505778,51.99
136,65.13725037485858,69.52
137,89.00039547165888,85.64
138,37.96291151555266,33.08
139,48.6847927788346,49.42
140,74.78020288844789,76.44
141,84.85833813347686,84.63
142,46.26549555788722,48.36
143,85.43581901081618,51.38
144,54.27169392594282,52.74
145,24.90599674955162,20.15
146,24.403740003584538,24.34
147,75.30787436268973,75.19
148,28.079670473640363,26.79
149,40.08313515818248,47.95
150,60.2290292392996,44.5
151,34.97003840437399,29.0
152,52.252604468355045,46.52
153,42.283980699271986,31.37
154,47.984248736141765,55.33
155,51.74299285993353,51.87
156,51.21509236799614,52.2
157,49.52552798358768,48.29
158,43.81722758698863,47.12
159,42.22521492568192,41.65
160,47.89457095696991,46.61
161,59.871040381959915,48.84
162,31.118721534706868,30.66
163,47.74690931129634,44.09
164,63.22367840420092,56.59
165,38.915270176302016,35.39
166,40.05635543600351,24.09
167,73.46948898466779,84.45
168,70.57731570565797,73.16
169,55.598301911516586,44.3
170,56.16627065099059,49.74
171,57.89294910574797,48.32
172,31.897125658083695,32.49
173,68.57952249687226,53.17
174,33.76402338261252,29.69
175,22.290220795528505,25.05
176,36.3664064571504,36.26
177,54.893974454881146,60.59
178,50.73612776584309,59.47
179,64.32054247515205,65.32
180,51.873114155211645,40.03
181,49.40982244546934,44.49
182,25.954149277670012,31.04
183,51.30601765153342,71.62
184,56.94909194607216,58.29
185,65.9343301817144,52.36
186,46.74423301744453,50.33
187,31.650884445054253,32.84
188,32.83119006075314,28.27
189,34.58781882475742,29.72
190,38.94985840538972,31.46
191,64.74995281869123,68.97
192,45.63717358172259,46.77
193,49.51477992163019,45.16
194,68.02309210080736,68.42
195,106.0293482637431,106.25
196,73.69567721687663,79.76
197,27.452191660433254,27.67
198,26.036190343412297,32.11
199,35.105060303124375,28.8
200,83.68792284485434,78.43
201,63.02463367600599,68.94
202,45.20853630577719,40.88
203,43.00643524170453,38.95
204,50.548204858538384,50.86
205,48.77705938264882,35.46
206,38.73465293235584,43.18
207,48.315915443046826,38.59
208,34.753899347532055,45.01
209,68.06001801074575,67.83
210,38.11801172303977,38.75
211,48.445065161021496,46.32
212,35.766615665281634,28.09
213,23.67692936350999,42.85
214,27.48861443640966,37.53
215,38.44695808838438,23.81
216,27.611652305566317,52.33
217,40.78764562107582,42.74
218,60.888465858939085,52.96
219,33.525629884859256,39.67
220,49.27986733779445,48.38
221,62.468370915026725,64.49
222,40.72201533293847,37.26
223,60.51054845960628,47.71
224,42.02662716349578,36.39
225,51.48848999900111,42.95
226,46.27417983667335,58.15
227,52.931333579308344,75.61
228,67.40827848685844,71.78
229,61.828816024298746,53.97
230,84.84425255778967,84.78
231,17.33470878288632,36.65
232,35.5973661124911,32.2
233,38.522021890211924,37.67
234,59.0483070779475,58.54
235,106.76804455252261,103.24
236,74.06007301410295,76.6
237,42.295678768076726,41.61
238,66.1515744432894,58.97
239,59.63315186290279,63.32
240,73.05866690047483,79.19
241,58.88374820943605,54.2
242,46.82314686162044,52.48
243,42.166944536587955,40.54
244,63.784685042189274,44.31
245,28.73089674641728,33.14
246,28.298250846328923,23.51
247,49.613532644313594,39.8
248,31.870184088880645,30.93
249,48.343435057139736,47.17
250,76.54204184226842,82.76
251,31.344515725742124,33.23
252,63.67001296547379,62.94
253,41.36201787396687,39.59
254,42.992200500049506,38.45
255,46.79252670559117,42.58
256,47.11386189475603,40.54
257,53.64024430880122,53.32
258,32.47315044637269,60.37
259,50.910303751478274,54.8
260,61.92735909077872,57.7
261,59.835534639878425,50.55
262,79.66208001654694,70.53
263,25.823219623196287,29.56
264,34.23426963996953,31.15
265,39.979144114253,38.1
266,49.427931186144804,45.71
267,23.001241354328414,47.48
268,70.46404192467284,52.33
269,53.61909117271276,54.88
270,67.845554642061,53.95
271,40.63946822609906,37.98
272,33.871689666639824,37.88
273,51.433070527509024,47.13
274,27.680960592626374,41.39
275,25.474504309363642,31.56
276,38.023701058407944,41.54
277,43.95486024837869,39.15
278,35.30823032353842,41.34
279,33.59843668573454,38.73
280,58.16304140928649,50.06
281,63.029643732729355,53.78
282,58.73630430645347,63.28
283,46.309735895063874,41.02
284,36.27381195458848,35.9
285,51.3529149056097,52.76
286,55.094463223212415,53.07
287,88.90775011063504,83.43
288,26.278824564277684,26.35
289,40.06484664212869,56.88
290,27.814851101205846,29.03
291,36.54757647382432,32.09
